341578 341538 253:4 /firmware/remoteproc_scp /vendor/firmware/remoteproc_scp ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341579 341538 253:4 /firmware/gt9886_cfg_6885v1.bin /vendor/firmware/gt9886_cfg_6885v1.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341580 341538 253:4 /firmware/soc1_0_ram_bt_2a_1_hdr.bin /vendor/firmware/soc1_0_ram_bt_2a_1_hdr.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341581 341538 253:4 /firmware/gt9886_cfg_6873v01.bin /vendor/firmware/gt9886_cfg_6873v01.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341582 341538 253:4 /firmware/gt9886_cfg_6877v01.bin /vendor/firmware/gt9886_cfg_6877v01.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341583 341538 253:4 /firmware/aw8622_high_f0_need_setup_Q_cfg.bin /vendor/firmware/aw8622_high_f0_need_setup_Q_cfg.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341584 341538 253:4 /firmware/gt9886_firmware_6877v01.bin /vendor/firmware/gt9886_firmware_6877v01.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341585 341538 253:4 /firmware/aw8622_high_f0_Q_cfg.bin /vendor/firmware/aw8622_high_f0_Q_cfg.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341586 341538 253:4 /firmware/gt9886_firmware_6785a4.bin /vendor/firmware/gt9886_firmware_6785a4.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341587 341538 253:4 /firmware/aw8622_high_f0_LONG_cfg.bin /vendor/firmware/aw8622_high_f0_LONG_cfg.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341588 341538 253:4 /firmware/aw8622_mid_f0_need_setup_Q_cfg.bin /vendor/firmware/aw8622_mid_f0_need_setup_Q_cfg.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341589 341538 253:4 /firmware/aw8622_low_f0_Z_cfg.bin /vendor/firmware/aw8622_low_f0_Z_cfg.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341590 341538 253:4 /firmware/aw8622_low_f0_cali_cfg.bin /vendor/firmware/aw8622_low_f0_cali_cfg.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341591 341538 253:4 /firmware/gt9886_cfg_90hz6785.bin /vendor/firmware/gt9886_cfg_90hz6785.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341592 341538 253:4 /firmware/aw8622_low_f0_need_setup_M_cfg.bin /vendor/firmware/aw8622_low_f0_need_setup_M_cfg.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341593 341538 253:4 /firmware/aw8622_high_f0_cali_cfg.bin /vendor/firmware/aw8622_high_f0_cali_cfg.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341594 341538 253:4 /firmware/goodix_cfg_group.bin /vendor/firmware/goodix_cfg_group.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341595 341538 253:4 /firmware/gt9886_firmware_6893v01.bin /vendor/firmware/gt9886_firmware_6893v01.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341596 341538 253:4 /firmware/aw8622_low_f0_M_cfg.bin /vendor/firmware/aw8622_low_f0_M_cfg.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341597 341538 253:4 /firmware/aw8622_mid_f0_Q_cfg.bin /vendor/firmware/aw8622_mid_f0_Q_cfg.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341598 341538 253:4 /firmware/aw87xxx_pid_59_rcv_1.bin /vendor/firmware/aw87xxx_pid_59_rcv_1.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341599 341538 253:4 /firmware/aw8622_high_f0_need_setup_Z_cfg.bin /vendor/firmware/aw8622_high_f0_need_setup_Z_cfg.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341600 341538 253:4 /firmware/aw8622_low_f0_Q_cfg.bin /vendor/firmware/aw8622_low_f0_Q_cfg.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341601 341538 253:4 /firmware/gt9886_firmware_6877af.bin /vendor/firmware/gt9886_firmware_6877af.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341602 341538 253:4 /firmware/aw8622_low_f0_LONG_cfg.bin /vendor/firmware/aw8622_low_f0_LONG_cfg.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341603 341538 253:4 /firmware/gt9886_firmware_6781v01.bin /vendor/firmware/gt9886_firmware_6781v01.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341604 341538 253:4 /firmware/aw8622_mid_f0_M_cfg.bin /vendor/firmware/aw8622_mid_f0_M_cfg.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
